"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:34:46.1092535","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKCU","SUCCESS","Desired Access: Read"
"10:34:46.1092637","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:34:46.1092685","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKCU","SUCCESS","Query: Name"
"10:34:46.1092774","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS","Desired Access: Read"
"10:34:46.1092848","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegSetInfoKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"10:34:46.1092903","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegCloseKey","HKCU","SUCCESS",""
"10:34:46.1092974","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders\Recent","SUCCESS","Type: REG_EXPAND_SZ, Length: 110, Data: %USERPROFILE%\AppData\Roaming\Microsoft\Windows\Recent"
"10:34:46.1093211","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegCloseKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS",""
"10:34:46.1093337","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:34:46.1093386","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM","SUCCESS","Query: Name"
"10:34:46.1093471","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","Desired Access: Read"
"10:34:46.1093540","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegSetInfoKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"10:34:46.1093609","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:46.1093677","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}","SUCCESS","Desired Access: Read"
"10:34:46.1093780","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS",""
"10:34:46.1093847","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\Category","SUCCESS","Type: REG_DWORD, Length: 4, Data: 2"
"10:34:46.1094081","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\Name","SUCCESS","Type: REG_SZ, Length: 16, Data: Windows"
"10:34:46.1094149","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\ParentFolder","NAME NOT FOUND","Length: 90"
"10:34:46.1094207","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\Description","NAME NOT FOUND","Length: 144"
"10:34:46.1094260","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\RelativePath","NAME NOT FOUND","Length: 144"
"10:34:46.1094320","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\ParsingName","NAME NOT FOUND","Length: 144"
"10:34:46.1094383","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\InfoTip","NAME NOT FOUND","Length: 144"
"10:34:46.1094438","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\LocalizedName","NAME NOT FOUND","Length: 144"
"10:34:46.1094490","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\Icon","NAME NOT FOUND","Length: 144"
"10:34:46.1094542","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\Security","NAME NOT FOUND","Length: 144"
"10:34:46.1094608","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\StreamResource","NAME NOT FOUND","Length: 144"
"10:34:46.1094683","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\StreamResourceType","NAME NOT FOUND","Length: 144"
"10:34:46.1094737","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\LocalRedirectOnly","NAME NOT FOUND","Length: 16"
"10:34:46.1094795","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\Roamable","NAME NOT FOUND","Length: 16"
"10:34:46.1094853","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\PreCreate","NAME NOT FOUND","Length: 16"
"10:34:46.1094906","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\Stream","NAME NOT FOUND","Length: 16"
"10:34:46.1095131","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\PublishExpandedPath","NAME NOT FOUND","Length: 16"
"10:34:46.1095399","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\DefinitionFlags","NAME NOT FOUND","Length: 16"
"10:34:46.1095579","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\Attributes","NAME NOT FOUND","Length: 16"
"10:34:46.1095655","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\FolderTypeID","NAME NOT FOUND","Length: 90"
"10:34:46.1095723","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\InitFolderHandler","NAME NOT FOUND","Length: 90"
"10:34:46.1095824","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:46.1095885","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\PropertyBag","SUCCESS","Desired Access: Read"
"10:34:46.1095997","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}","SUCCESS",""
"10:34:46.1096156","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
